stat_id,nb_no_action_d,nb_move_out_d,nb_move_out_and_kill_d,nb_move_forward_d,nb_get_stuck_behind_d,nb_enter_safezone_d,nb_move_in_safe_zone_d,nb_reach_goal_d,nb_kill_d,nb_reach_pied_escalier_d,nb_avance_recule_pied_escalier_d,nb_marche_1_d,nb_marche_2_d,nb_marche_3_d,nb_marche_4_d,nb_marche_5_d,nb_marche_6_d,nb_no_action_e,nb_move_out_e,nb_move_out_and_kill_e,nb_move_forward_e,nb_get_stuck_behind_e,nb_enter_safezone_e,nb_move_in_safe_zone_e,nb_reach_goal_e,nb_kill_e,nb_reach_pied_escalier_e,nb_avance_recule_pied_escalier_e,nb_marche_1_e,nb_marche_2_e,nb_marche_3_e,nb_marche_4_e,nb_marche_5_e,nb_marche_6_e
23404,4,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0
23405,2,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0
23406,4,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
23407,0,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0
23408,3,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
23409,5,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0
23410,2,1,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,15,0,1,2,1,0,0,0,0,0,0,0,0,0
23411,2,1,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0
23412,4,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
23413,2,1,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,17,0,1,1,0,0,0,0,0,0,0,0,0,0
23414,3,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0
23415,4,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0
23416,1,1,0,15,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0
23417,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23418,3,1,0,20,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,0,18,0,1,0,1,1,0,0,0,0,0,0,0,0
23419,1,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0
23420,4,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
23421,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
23422,1,1,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,15,0,1,2,1,0,0,0,0,0,0,0,0,0
23423,6,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0
23424,11,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
23425,4,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
23426,1,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,14,0,1,1,1,0,0,0,0,0,0,0,0,0
23427,5,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0
23428,0,1,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,3,1,0,0,0,0,0,0,0,0,0
23429,0,1,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0
23430,2,1,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0
