participant_id,game_id,player_id,num_player_game,action_stats,turn_order,reward_action_agent,reward_rectified,nb_moves,is_winner,nb_actions_interdites,nb_pawns_in_goal
430,215,3,2,430,2,0,0,18,True,0,1
431,216,1,1,431,1,-10,0,18,True,1,1
432,216,3,2,432,2,-10,0,17,False,1,0
433,217,1,1,433,1,-10,0,17,False,1,0
434,217,3,2,434,2,-20,0,17,True,2,1
435,218,1,1,435,1,0,0,22,True,0,1
436,218,3,2,436,2,0,0,21,False,0,0
437,219,1,1,437,1,0,0,22,False,0,0
438,219,3,2,438,2,-10,0,22,True,1,1
439,220,1,1,439,1,0,0,19,True,0,1
440,220,3,2,440,2,0,0,18,False,0,0
441,221,1,1,441,1,-30,0,21,True,3,1
442,221,3,2,442,2,-10,0,20,False,1,0
443,222,1,1,443,1,0,0,24,True,0,1
444,222,3,2,444,2,0,0,23,False,0,0
445,223,1,1,445,1,0,0,20,False,0,0
446,223,3,2,446,2,0,0,20,True,0,1
447,224,1,1,447,1,-10,0,24,False,1,0
448,224,3,2,448,2,0,0,24,True,0,1
449,225,1,1,449,1,0,0,33,True,0,1
450,225,3,2,450,2,0,0,32,False,0,0
451,226,1,1,451,1,0,0,19,False,0,0
452,226,3,2,452,2,0,0,19,True,0,1
453,227,1,1,453,1,0,0,31,False,0,0
454,227,3,2,454,2,0,0,31,True,0,1
455,228,1,1,455,1,0,0,19,False,0,0
456,228,3,2,456,2,0,0,19,True,0,1
457,229,1,1,457,1,0,0,17,True,0,1
458,229,3,2,458,2,0,0,16,False,0,0
459,230,1,1,459,1,0,0,22,True,0,1
460,230,3,2,460,2,0,0,21,False,0,0
461,231,1,1,461,1,0,0,23,True,0,1
462,231,3,2,462,2,-20,0,22,False,2,0
463,232,1,1,463,1,0,0,16,False,0,0
464,232,3,2,464,2,0,0,16,True,0,1
465,233,1,1,465,1,0,0,18,False,0,0
466,233,3,2,466,2,0,0,18,True,0,1
467,234,1,1,467,1,0,0,20,False,0,0
468,234,3,2,468,2,0,0,20,True,0,1
469,235,1,1,469,1,0,0,29,True,0,1
470,235,3,2,470,2,0,0,28,False,0,0
471,236,1,1,471,1,0,0,20,True,0,1
472,236,3,2,472,2,-10,0,19,False,1,0
473,237,1,1,473,1,0,0,17,False,0,0
474,237,3,2,474,2,0,0,17,True,0,1
475,238,1,1,475,1,0,0,22,False,0,0
476,238,3,2,476,2,-10,0,22,True,1,1
477,239,1,1,477,1,0,0,18,False,0,0
478,239,3,2,478,2,0,0,18,True,0,1
479,240,1,1,479,1,-20,0,21,True,2,1
480,240,3,2,480,2,0,0,20,False,0,0
481,241,1,1,481,1,0,0,15,True,0,1
482,241,3,2,482,2,0,0,14,False,0,0
483,242,1,1,483,1,0,0,23,False,0,0
484,242,3,2,484,2,0,0,23,True,0,1
485,243,1,1,485,1,-10,0,19,False,1,0
486,243,3,2,486,2,-10,0,19,True,1,1
487,244,1,1,487,1,0,0,23,False,0,0
488,244,3,2,488,2,0,0,23,True,0,1
489,245,1,1,489,1,0,0,20,True,0,1
490,245,3,2,490,2,0,0,19,False,0,0
491,246,1,1,491,1,-20,0,24,False,2,0
492,246,3,2,492,2,0,0,24,True,0,1
493,247,1,1,493,1,0,0,21,True,0,1
494,247,3,2,494,2,0,0,20,False,0,0
495,248,1,1,495,1,0,0,22,True,0,1
496,248,3,2,496,2,0,0,21,False,0,0
497,249,1,1,497,1,0,0,22,False,0,0
498,249,3,2,498,2,0,0,22,True,0,1
499,250,1,1,499,1,0,0,23,False,0,0
500,250,3,2,500,2,0,0,23,True,0,1
501,251,1,1,501,1,0,0,23,True,0,1
502,251,3,2,502,2,0,0,22,False,0,0
503,252,1,1,503,1,0,0,28,True,0,1
